player_name,position,team,draft_year,draft_round,draft_pick_overall,age_on_draft_day,C_season,player_id,C_team,C_conference,C_passing_TD,C_passing_YDS,C_passing_INT,C_rushing_TD,C_rushing_YDS,C_receiving_REC,C_receiving_TD,C_receiving_YDS,C_fumbles_LOST,C_passing_ATT,C_passing_COMPLETIONS,C_passing_PCT,C_passing_YPA,C_rushing_CAR,C_rushing_YPC,C_rushing_LONG,C_receiving_YPR,C_receiving_LONG,C_fumbles_FUM,C_conference_strength,height_in,weight_lb
Cam Ward,QB,TEN,2025,1,1,23,2024,4688380,Miami,ACC,39,4313,7,4,204,1,1,7,3,454,305,0.672,9.5,60,3.4,24,7,7,3,8,74,219
Travis Hunter,WR,JAX,2025,1,2,22,2024,4685415,Colorado,Big 12,0,0,0,1,5,96,15,1258,0,0,0,0,0,2,2.5,5,13.1,58,0,8.5,73,185
Ashton Jeanty,RB,LVR,2025,1,6,21,2024,4890973,Boise State,Mountain West,0,0,0,29,2601,23,1,138,3,0,0,0,0,374,7,77,6,18,4,5.5,68,215
Colston Loveland,TE,CHI,2025,1,10,21,2024,4723086,Michigan,Big Ten,0,0,0,0,-2,56,5,582,1,0,0,0,0,1,-2,0,10.4,36,1,9.5,78,245
Tyler Warren,TE,IND,2025,1,14,23,2024,4431459,Penn State,Big Ten,1,35,0,4,218,104,8,1233,1,6,3,0.5,5.8,26,8.4,48,11.9,38,2,9.5,78,261
Emeka Egbuka,WR,TAM,2025,1,19,22,2024,4567750,Ohio State,Big Ten,0,0,0,0,33,81,10,1011,1,0,0,0,0,8,4.1,13,12.5,68,1,9.5,73,205
Omarion Hampton,RB,LAC,2025,1,22,22,2024,4685382,North Carolina,ACC,0,0,0,15,1660,38,2,373,0,0,0,0,0,281,5.9,75,9.8,49,1,8,72,220
Matthew Golden,WR,GNB,2025,1,23,22,2024,4701936,Texas,SEC,0,30,0,0,0,58,9,987,0,2,1,0.5,15,0,0,0,17,54,0,10,71,195
Jaxson Dart,QB,NYG,2025,1,25,22,2024,4689114,Ole Miss,SEC,29,4279,6,3,495,0,0,0,0,398,276,0.693,10.8,124,4,35,0,0,2,10,74,225
Jayden Higgins,WR,HOU,2025,2,34,22,2024,4877706,Iowa State,Big 12,0,0,0,0,0,87,9,1183,0,0,0,0,0,0,0,0,13.6,39,0,8.5,76,215
Quinshon Judkins,RB,CLE,2025,2,36,21,2024,4685702,Ohio State,Big Ten,0,0,0,14,1060,22,2,161,1,0,0,0,0,194,5.5,86,7.3,21,1,9.5,71,221
TreVeyon Henderson,RB,NWE,2025,2,38,22,2024,4432710,Ohio State,Big Ten,0,0,0,10,1016,27,1,284,0,0,0,0,0,144,7.1,66,10.5,75,0,9.5,70,212
Tyler Shough,QB,NOR,2025,2,40,25,2024,4360689,Louisville,ACC,23,3195,6,1,19,0,0,0,1,389,244,0.627,8.2,42,0.5,46,0,0,1,8,77,225
Mason Taylor,TE,NYJ,2025,2,42,21,2024,4808766,LSU,SEC,0,0,0,0,0,55,2,546,0,0,0,0,0,0,0,0,9.9,33,0,10,77,255
Terrance Ferguson,TE,LAR,2025,2,46,22,2024,4570037,Oregon,Big Ten,0,0,0,0,0,43,3,591,0,0,0,0,0,0,0,0,13.7,62,0,9.5,77,255
Elijah Arroyo,TE,SEA,2025,2,50,22,2024,4678006,Miami,ACC,1,7,0,0,0,35,7,590,0,1,1,1,7,0,0,0,16.9,74,0,8,77,245
Tre Harris,WR,LAC,2025,2,55,23,2024,4686612,Ole Miss,SEC,0,0,0,0,0,61,7,1063,1,0,0,0,0,0,0,0,17.4,70,2,10,75,204
